"Gender","Age","Debt","YearsEmployed","PriorDefault","Employed","CreditScore","DriversLicense","ZipCode","Income","Approved","Industry.CommunicationServices","Industry.ConsumerDiscretionary","Industry.ConsumerStaples","Industry.Education","Industry.Financials","Industry.Industrials","Industry.InformationTechnology","Industry.Materials","Industry.Real Estate","Industry.Research","Industry.Transport","Ethnicity.Asian","Ethnicity.Black","Ethnicity.Latino","Ethnicity.Other","Citizen.ByOtherMeans"
"1",-0.057681435425172,-0.955919763998852,-0.290871630439694,"1","1",-0.287891684895625,"0",0.123309387074893,-0.195271683820164,"Approved",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"0",2.28965629430828,-0.0600069991215048,0.244013429868601,"1","1",0.740292904017322,"0",-0.790639596575052,-0.0877881958400168,"Approved",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"0",-0.591397233888274,-0.855481113227849,-0.216167013078201,"1","0",-0.493528602678215,"0",0.571661718676752,-0.037117408649376,"Approved",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"1",-0.310627311474035,-0.646568719624162,0.456174543175243,"1","1",0.534655986234733,"1",-0.46299750809677,-0.19469587942027,"Approved",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1",-0.9564824483188,0.174015057174932,-0.153415134494546,"1","0",-0.493528602678215,"0",-0.348035371788601,-0.195271683820164,"Approved",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1",0.0477126795951878,-0.152410557830828,0.0826514563677744,"1","0",-0.493528602678215,"1",1.03151026390943,-0.195271683820164,"Approved",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",0.139616347892942,-0.747007370395165,1.27792533415167,"1","0",-0.493528602678215,"1",-0.0951186719106286,5.80940853307073,"Approved",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"0",-0.724615395274009,1.37124377436529,-0.652441978469324,"1","0",-0.493528602678215,"0",-0.577959644404939,0.0636483613320118,"Approved",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1",1.93131630323906,-0.855481113227849,0.518926421758898,"1","0",-0.493528602678215,"0",-0.00314896286409331,-0.135004156631296,"Approved",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"1",0.926278022404907,0.031392173080108,0.281365738549348,"1","0",-0.493528602678215,"1",-0.738906635236376,0.0814982977287148,"Approved",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1",-0.795440240567691,-0.789191603718987,-0.0174527308966273,"0","0",-0.493528602678215,"1",-0.302050517265333,-0.195271683820164,"Approved",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1",-0.134408351159994,-0.587309915669271,0.630983347801139,"1","0",-0.493528602678215,"0",0.456699582368583,-0.156884723827254,"Approved",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"0",0.567938031335684,0.249344045253185,-0.365576247801188,"1","0",-0.493528602678215,"1",-1.03780818963762,-0.195271683820164,"Approved",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1",1.39675735185579,0.257379137314865,-0.652441978469324,"0","0",-0.493528602678215,"0",-1.03780818963762,0.321032928084471,"Approved",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"0",1.20704794481915,1.15329190219221,0.829697629982712,"1","1",0.945929821799912,"1",-1.03780818963762,-0.195271683820164,"Approved",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1",0.434719869949949,-0.069046477690895,-0.58969009988567,"1","1",1.56284057514768,"1",0.801585991293091,-0.195271683820164,"Approved",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1",-0.275214888827194,-0.780152125149596,-0.377528986579027,"1","1",0.123382150669554,"1",1.23844210926413,-0.195271683820164,"Approved",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0",-0.696791348908634,0.224234382560434,0.282859830896578,"1","1",1.56284057514768,"0",-0.348035371788601,-0.148247657828849,"Approved",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1",-0.816519063571763,-0.90570043861335,-0.46568043506559,"1","0",-0.493528602678215,"1",-1.03780818963762,-0.195271683820164,"Approved",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"0",-1.04079774033509,0.76861186973927,-0.440280865162682,"1","1",0.945929821799912,"0",-0.485989935358404,-0.195271683820164,"Approved",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"1",-0.54923958788013,1.30394987834872,0.0826514563677744,"1","1",3.00229899962581,"0",0.111813173444076,0.0365855545370105,"Approved",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",-0.696791348908634,-0.755042462456846,-0.414881295259774,"1","0",-0.493528602678215,"0",0.686623854984922,-0.195271683820164,"Approved",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"0",1.36893330549042,0.651098648337197,1.68880072963989,"1","1",0.740292904017322,"1",-1.03780818963762,0.046566164135167,"Approved",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0",-0.345196581200713,1.95680110836024,0.25746026099367,"1","1",-0.287891684895625,"0",-0.348035371788601,-0.193160401020554,"Approved",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"0",0.814138684023245,0.349782696024188,-0.514985482524176,"1","1",0.123382150669554,"1",-0.204332701403389,-0.195271683820164,"Approved",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"0",-1.32241081566949,-0.838406542596778,-0.216167013078201,"1","1",-0.0822547671130358,"0",-0.46299750809677,-0.195271683820164,"Approved",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"0",1.3056968364782,1.65548515604723,0.879002677441298,"1","1",1.35720365736509,"1",-1.03780818963762,-0.195271683820164,"Approved",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1",2.11343733399424,2.76031031452826,3.81788232444246,"1","1",3.00229899962581,"1",-1.03780818963762,-0.195271683820164,"Approved",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"1",2.18426217928792,0.7515372991082,1.42733456887466,"1","1",0.123382150669554,"0",-1.03780818963762,-0.195271683820164,"Approved",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"1",0.890865599758066,-0.747007370395165,0.829697629982712,"1","1",0.740292904017322,"1",1.83624521806661,1.72407631582532,"Approved",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1",-0.190899596810907,2.01505552580742,0.841650368760551,"1","1",0.534655986234733,"1",-0.0721262446489948,-0.195271683820164,"Approved",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",0.884120376396763,1.01066901809739,1.7142002995428,"1","1",1.1515667395825,"0",-1.03780818963762,-0.195271683820164,"Approved",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1",1.51648506651892,0.567734568197264,1.60214337350056,"1","1",2.59102516406063,"1",-1.03780818963762,0.764402316002577,"Approved",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"0",0.441465093311252,0.0735764064039293,0.829697629982712,"1","0",-0.493528602678215,"1",-1.03780818963762,0.572467516038029,"Approved",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"0",-0.753282594559547,1.20351122757771,-0.540385052427084,"1","1",0.534655986234733,"1",-1.03780818963762,-0.0877881958400168,"Approved",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1",-0.310627311474035,-0.654603811685843,-0.0667577783552132,"1","1",1.76847749293027,"1",1.45687016824965,-0.188553965821405,"Approved",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1",-0.359530180843482,-0.637529241054772,-0.116062825813799,"1","1",1.97411441071286,"1",2.31333808374551,-0.0584221714454409,"Approved",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"0",-0.717870171912706,1.40438852911972,-0.514985482524176,"1","1",-0.0822547671130358,"1",0.686623854984922,-0.0895156090396977,"Approved",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1",-0.317372534835338,-0.838406542596778,-0.58969009988567,"1","1",-0.0822547671130358,"0",0.456699582368583,-0.0993042838378897,"Approved",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
